ID;DEPARTURE;ORIGIN;DESTINATION;SERVICE
17547;08:01:22;630091.4649678952 5801101.828687836;629533.2508191536 5802809.170667693;PersonalVehicle
20145;08:01:22;631317.7076364097 5803196.2985657025;630286.6596792893 5803233.0421831;PersonalVehicle
4159;08:01:22;626714.0185251568 5802579.496128115;625871.0507655835 5804220.696952324;PersonalVehicle
26691;08:01:23;633130.1165867051 5806483.914028667;633692.6399642813 5806310.046305737;PersonalVehicle
45022;08:01:23;625506.3564786583 5800324.4571683705;629441.1837718184 5800468.355883743;PersonalVehicle
24227;08:01:24;631508.9357822491 5800334.580834627;632357.7464165204 5800288.209577048;PersonalVehicle
15563;08:01:24;627683.712251006 5802286.108324662;625506.3564786583 5800324.4571683705;PersonalVehicle
39508;08:01:24;627498.1724596496 5810012.366902584;627928.5762932202 5808370.379014719;PersonalVehicle
26423;08:01:25;633155.3140373367 5806250.269960084;625506.3564786583 5800324.4571683705;PersonalVehicle
33708;08:01:25;625506.3564786583 5800324.4571683705;628726.4156892035 5801151.5548479315;PersonalVehicle
3925;08:01:25;627647.6795411047 5803113.561815711;627609.9908187053 5803115.660426181;PersonalVehicle
17031;08:01:25;629424.6210462111 5800909.530678698;630377.2935286161 5799276.878224155;PersonalVehicle
33180;08:01:26;629829.5615825026 5803818.062373322;631179.1003612746 5804535.5735330805;PersonalVehicle
20261;08:01:27;631083.0314414479 5803047.427845753;634266.520278123 5803737.794336154;PersonalVehicle
20798;08:01:27;632264.8740829667 5803329.658360991;634266.520278123 5803737.794336154;PersonalVehicle
36752;08:01:27;631913.9173730104 5808124.069404383;631866.3640289842 5804384.063591917;PersonalVehicle
3022;08:01:28;627232.5448986961 5805122.035343819;625506.3564786583 5800324.4571683705;PersonalVehicle
33170;08:01:28;630377.2935286161 5799276.878224155;628746.5609465039 5801807.568742029;PersonalVehicle
27473;08:01:28;630513.7916044398 5807686.786705554;629765.1119133426 5806490.47143042;PersonalVehicle
15883;08:01:28;626485.6323755066 5801156.238556796;632357.7464165204 5800288.209577048;PersonalVehicle
16314;08:01:28;627475.5717472335 5801121.42993812;625506.3564786583 5800324.4571683705;PersonalVehicle
